python main.py agent_result/BEST_AGENT_5K/dqn_agent.pth 5k_retrain.pth
Episode     0 | Slices:   2 | Avg Reward:     930.11 | Avg Energy:   3410.62 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode    50 | Slices:  41 | Avg Reward:   20777.54 | Avg Energy:  11546.45 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   100 | Slices:  48 | Avg Reward:   29210.22 | Avg Energy:  14976.54 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   150 | Slices:  52 | Avg Reward:   32725.30 | Avg Energy:  15635.95 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   200 | Slices:  55 | Avg Reward:   34992.89 | Avg Energy:  16117.28 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   250 | Slices:  57 | Avg Reward:   36746.96 | Avg Energy:  16620.80 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   300 | Slices:  59 | Avg Reward:   38000.72 | Avg Energy:  17241.55 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   350 | Slices:  60 | Avg Reward:   39123.89 | Avg Energy:  17628.59 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   400 | Slices:  61 | Avg Reward:   40007.52 | Avg Energy:  17882.52 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   450 | Slices:  63 | Avg Reward:   40869.88 | Avg Energy:  18583.36 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   500 | Slices:  64 | Avg Reward:   41636.41 | Avg Energy:  18416.24 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   550 | Slices:  65 | Avg Reward:   42358.43 | Avg Energy:  18257.14 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   600 | Slices:  65 | Avg Reward:   42834.08 | Avg Energy:  19178.36 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   650 | Slices:  66 | Avg Reward:   43587.67 | Avg Energy:  18943.69 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   700 | Slices:  67 | Avg Reward:   44029.01 | Avg Energy:  19346.48 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   750 | Slices:  68 | Avg Reward:   44410.60 | Avg Energy:  19370.17 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   800 | Slices:  68 | Avg Reward:   44896.80 | Avg Energy:  19203.34 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   850 | Slices:  69 | Avg Reward:   45449.32 | Avg Energy:  19425.75 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   900 | Slices:  70 | Avg Reward:   45639.55 | Avg Energy:  19427.66 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   950 | Slices:  70 | Avg Reward:   46260.26 | Avg Energy:  19943.99 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1000 | Slices:  71 | Avg Reward:   46406.13 | Avg Energy:  19346.61 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1050 | Slices:  71 | Avg Reward:   47027.15 | Avg Energy:  19345.69 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1100 | Slices:  72 | Avg Reward:   47076.43 | Avg Energy:  19496.35 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1150 | Slices:  72 | Avg Reward:   47645.17 | Avg Energy:  19700.14 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1200 | Slices:  72 | Avg Reward:   47698.84 | Avg Energy:  19434.07 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1250 | Slices:  73 | Avg Reward:   48303.85 | Avg Energy:  19235.91 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1300 | Slices:  73 | Avg Reward:   48317.95 | Avg Energy:  19838.33 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1350 | Slices:  74 | Avg Reward:   48445.87 | Avg Energy:  20530.99 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1400 | Slices:  74 | Avg Reward:   49035.89 | Avg Energy:  20099.88 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1450 | Slices:  74 | Avg Reward:   49093.56 | Avg Energy:  19811.77 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1500 | Slices:  75 | Avg Reward:   49462.42 | Avg Energy:  19365.71 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1550 | Slices:  75 | Avg Reward:   49720.55 | Avg Energy:  19918.26 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1600 | Slices:  75 | Avg Reward:   49720.05 | Avg Energy:  19933.84 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1650 | Slices:  76 | Avg Reward:   49941.86 | Avg Energy:  19837.17 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1700 | Slices:  76 | Avg Reward:   50414.01 | Avg Energy:  19799.67 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1750 | Slices:  76 | Avg Reward:   50400.96 | Avg Energy:  20041.70 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1800 | Slices:  76 | Avg Reward:   50370.46 | Avg Energy:  20482.62 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1850 | Slices:  77 | Avg Reward:   51073.95 | Avg Energy:  20152.81 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1900 | Slices:  77 | Avg Reward:   51096.26 | Avg Energy:  20443.42 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1950 | Slices:  77 | Avg Reward:   51081.84 | Avg Energy:  20352.94 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2000 | Slices:  78 | Avg Reward:   51118.22 | Avg Energy:  20553.88 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2050 | Slices:  78 | Avg Reward:   51682.33 | Avg Energy:  20983.40 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2100 | Slices:  78 | Avg Reward:   51734.96 | Avg Energy:  20468.15 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2150 | Slices:  78 | Avg Reward:   51748.75 | Avg Energy:  20373.98 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2200 | Slices:  78 | Avg Reward:   51821.97 | Avg Energy:  20221.41 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2250 | Slices:  79 | Avg Reward:   52309.40 | Avg Energy:  20633.17 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2300 | Slices:  79 | Avg Reward:   52414.41 | Avg Energy:  20850.29 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2350 | Slices:  79 | Avg Reward:   52437.02 | Avg Energy:  20825.40 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2400 | Slices:  79 | Avg Reward:   52496.17 | Avg Energy:  20265.03 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2450 | Slices:  80 | Avg Reward:   52611.73 | Avg Energy:  20670.44 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2500 | Slices:  80 | Avg Reward:   53228.49 | Avg Energy:  20345.73 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2550 | Slices:  80 | Avg Reward:   53127.04 | Avg Energy:  20896.11 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2600 | Slices:  80 | Avg Reward:   53051.24 | Avg Energy:  21280.11 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2650 | Slices:  80 | Avg Reward:   53093.36 | Avg Energy:  20962.93 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2700 | Slices:  81 | Avg Reward:   53140.75 | Avg Energy:  20789.51 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2750 | Slices:  81 | Avg Reward:   53823.19 | Avg Energy:  20934.05 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2800 | Slices:  81 | Avg Reward:   53767.25 | Avg Energy:  21407.20 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2850 | Slices:  81 | Avg Reward:   53865.71 | Avg Energy:  20601.91 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2900 | Slices:  81 | Avg Reward:   53824.61 | Avg Energy:  20886.64 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2950 | Slices:  81 | Avg Reward:   53791.08 | Avg Energy:  20840.16 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3000 | Slices:  82 | Avg Reward:   54084.50 | Avg Energy:  21041.80 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3050 | Slices:  82 | Avg Reward:   54443.55 | Avg Energy:  21366.56 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3100 | Slices:  82 | Avg Reward:   54451.00 | Avg Energy:  20912.16 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3150 | Slices:  82 | Avg Reward:   54361.85 | Avg Energy:  21547.03 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3200 | Slices:  82 | Avg Reward:   54479.81 | Avg Energy:  20653.71 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3250 | Slices:  82 | Avg Reward:   54519.00 | Avg Energy:  20702.85 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3300 | Slices:  83 | Avg Reward:   54524.24 | Avg Energy:  21556.78 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3350 | Slices:  83 | Avg Reward:   55179.57 | Avg Energy:  21124.73 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3400 | Slices:  83 | Avg Reward:   55146.58 | Avg Energy:  20972.69 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3450 | Slices:  83 | Avg Reward:   55218.40 | Avg Energy:  20790.42 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3500 | Slices:  83 | Avg Reward:   55184.27 | Avg Energy:  21001.63 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3550 | Slices:  83 | Avg Reward:   55136.78 | Avg Energy:  21294.82 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3600 | Slices:  83 | Avg Reward:   55163.04 | Avg Energy:  21050.32 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3650 | Slices:  84 | Avg Reward:   55198.39 | Avg Energy:  21758.40 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3700 | Slices:  84 | Avg Reward:   55793.30 | Avg Energy:  21416.12 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3750 | Slices:  84 | Avg Reward:   55779.07 | Avg Energy:  21418.45 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3800 | Slices:  84 | Avg Reward:   55743.94 | Avg Energy:  22068.07 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3850 | Slices:  84 | Avg Reward:   55743.29 | Avg Energy:  21898.76 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3900 | Slices:  84 | Avg Reward:   55798.46 | Avg Energy:  21246.45 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3950 | Slices:  84 | Avg Reward:   55807.21 | Avg Energy:  21593.17 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4000 | Slices:  84 | Avg Reward:   55748.69 | Avg Energy:  22035.51 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4050 | Slices:  85 | Avg Reward:   56156.90 | Avg Energy:  21576.76 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4100 | Slices:  85 | Avg Reward:   56463.63 | Avg Energy:  21427.82 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4150 | Slices:  85 | Avg Reward:   56490.21 | Avg Energy:  21604.18 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4200 | Slices:  85 | Avg Reward:   56522.24 | Avg Energy:  21417.82 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4250 | Slices:  85 | Avg Reward:   56443.45 | Avg Energy:  21988.48 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4300 | Slices:  85 | Avg Reward:   56494.24 | Avg Energy:  21819.87 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4350 | Slices:  85 | Avg Reward:   56401.92 | Avg Energy:  22030.48 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4400 | Slices:  85 | Avg Reward:   56472.37 | Avg Energy:  21615.15 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4450 | Slices:  86 | Avg Reward:   56474.01 | Avg Energy:  22029.38 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4500 | Slices:  86 | Avg Reward:   57047.91 | Avg Energy:  22493.35 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4550 | Slices:  86 | Avg Reward:   57187.16 | Avg Energy:  21644.75 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4600 | Slices:  86 | Avg Reward:   57061.79 | Avg Energy:  22233.46 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4650 | Slices:  86 | Avg Reward:   57214.71 | Avg Energy:  21399.76 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
