(.venv) └  ~/workspace/python_workspace/network_slicing_vnf_placement/dql_vnf_placement  M › U › 𝗈𝗇 › barabasi_network
 › python main.py
Episode     0 | Slices:   1 | Avg Reward:     231.95 | Avg Energy:   3332.21 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 1.000
Episode    50 | Slices:  20 | Avg Reward:    9602.54 | Avg Energy:   8545.65 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.221
Episode   100 | Slices:  24 | Avg Reward:   14281.56 | Avg Energy:   8214.33 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   150 | Slices:  26 | Avg Reward:   16176.68 | Avg Energy:   8059.95 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   200 | Slices:  27 | Avg Reward:   17372.94 | Avg Energy:   8258.96 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   250 | Slices:  28 | Avg Reward:   18253.52 | Avg Energy:   8182.83 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   300 | Slices:  29 | Avg Reward:   18959.12 | Avg Energy:   8248.26 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   350 | Slices:  30 | Avg Reward:   19503.76 | Avg Energy:   8390.90 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   400 | Slices:  30 | Avg Reward:   19908.22 | Avg Energy:   8430.62 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   450 | Slices:  31 | Avg Reward:   20545.83 | Avg Energy:   8510.89 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   500 | Slices:  32 | Avg Reward:   20699.11 | Avg Energy:   8546.55 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   550 | Slices:  32 | Avg Reward:   21294.25 | Avg Energy:   8560.41 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   600 | Slices:  32 | Avg Reward:   21276.82 | Avg Energy:   8632.48 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   650 | Slices:  33 | Avg Reward:   21954.66 | Avg Energy:   8684.56 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   700 | Slices:  33 | Avg Reward:   21954.31 | Avg Energy:   8695.44 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   750 | Slices:  34 | Avg Reward:   22201.94 | Avg Energy:   8717.70 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   800 | Slices:  34 | Avg Reward:   22670.85 | Avg Energy:   8742.28 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   850 | Slices:  34 | Avg Reward:   22658.62 | Avg Energy:   8735.26 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   900 | Slices:  35 | Avg Reward:   22703.17 | Avg Energy:   8831.22 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   950 | Slices:  35 | Avg Reward:   23354.63 | Avg Energy:   8799.21 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1000 | Slices:  35 | Avg Reward:   23347.19 | Avg Energy:   8877.81 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1050 | Slices:  35 | Avg Reward:   23323.25 | Avg Energy:   8858.09 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1100 | Slices:  36 | Avg Reward:   23436.70 | Avg Energy:   8803.42 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1150 | Slices:  36 | Avg Reward:   24069.44 | Avg Energy:   8800.61 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1200 | Slices:  36 | Avg Reward:   24056.71 | Avg Energy:   8862.33 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1250 | Slices:  36 | Avg Reward:   24079.35 | Avg Energy:   8821.87 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1300 | Slices:  36 | Avg Reward:   24048.70 | Avg Energy:   8965.08 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1350 | Slices:  37 | Avg Reward:   24182.96 | Avg Energy:   9030.46 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1400 | Slices:  37 | Avg Reward:   24773.51 | Avg Energy:   8861.07 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1450 | Slices:  37 | Avg Reward:   24758.59 | Avg Energy:   8920.16 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1500 | Slices:  37 | Avg Reward:   24752.00 | Avg Energy:   8947.94 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1550 | Slices:  37 | Avg Reward:   24724.50 | Avg Energy:   9012.48 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1600 | Slices:  37 | Avg Reward:   24752.08 | Avg Energy:   8948.27 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1650 | Slices:  38 | Avg Reward:   24948.29 | Avg Energy:   9013.90 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1700 | Slices:  38 | Avg Reward:   25463.02 | Avg Energy:   8945.13 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1750 | Slices:  38 | Avg Reward:   25441.37 | Avg Energy:   9039.82 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1800 | Slices:  38 | Avg Reward:   25390.73 | Avg Energy:   9153.45 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1850 | Slices:  38 | Avg Reward:   25393.28 | Avg Energy:   9140.94 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1900 | Slices:  38 | Avg Reward:   25428.98 | Avg Energy:   9038.92 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1950 | Slices:  38 | Avg Reward:   25427.09 | Avg Energy:   9039.51 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2000 | Slices:  39 | Avg Reward:   25437.24 | Avg Energy:   9119.12 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2050 | Slices:  39 | Avg Reward:   26114.35 | Avg Energy:   9151.57 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2100 | Slices:  39 | Avg Reward:   26124.79 | Avg Energy:   9123.75 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2150 | Slices:  39 | Avg Reward:   26133.07 | Avg Energy:   9099.96 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2200 | Slices:  39 | Avg Reward:   26118.26 | Avg Energy:   9124.43 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2250 | Slices:  39 | Avg Reward:   26137.53 | Avg Energy:   9076.33 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2300 | Slices:  39 | Avg Reward:   26136.82 | Avg Energy:   9123.13 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2350 | Slices:  39 | Avg Reward:   26091.49 | Avg Energy:   9180.89 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2400 | Slices:  39 | Avg Reward:   26152.30 | Avg Energy:   9037.75 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
