python main.py agent_result/BEST_AGENT_5K/dqn_agent.pth v_1_retrain_log_10k.pth
Episode     0 | Slices: 145 | Avg Reward:   97487.33 | Avg Energy:  29088.75 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode    50 | Slices: 184 | Avg Reward:  118475.75 | Avg Energy:  29813.14 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   100 | Slices: 191 | Avg Reward:  127141.53 | Avg Energy:  31495.96 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   150 | Slices: 195 | Avg Reward:  130704.33 | Avg Energy:  32148.33 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   200 | Slices: 198 | Avg Reward:  132997.24 | Avg Energy:  32322.14 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   250 | Slices: 200 | Avg Reward:  134710.19 | Avg Energy:  32975.29 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   300 | Slices: 200 | Avg Reward:  135679.24 | Avg Energy:  32561.56 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   350 | Slices: 200 | Avg Reward:  135662.73 | Avg Energy:  33010.07 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   400 | Slices: 200 | Avg Reward:  135624.21 | Avg Energy:  32691.59 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   450 | Slices: 200 | Avg Reward:  135574.62 | Avg Energy:  32904.26 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   500 | Slices: 200 | Avg Reward:  135634.10 | Avg Energy:  32620.86 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   550 | Slices: 200 | Avg Reward:  135650.78 | Avg Energy:  32795.32 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   600 | Slices: 200 | Avg Reward:  135664.07 | Avg Energy:  32637.11 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   650 | Slices: 200 | Avg Reward:  135622.40 | Avg Energy:  32902.80 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   700 | Slices: 200 | Avg Reward:  135603.09 | Avg Energy:  32873.23 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   750 | Slices: 200 | Avg Reward:  135698.84 | Avg Energy:  32491.19 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   800 | Slices: 200 | Avg Reward:  135627.44 | Avg Energy:  32851.48 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   850 | Slices: 200 | Avg Reward:  135668.29 | Avg Energy:  32535.41 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   900 | Slices: 200 | Avg Reward:  135596.19 | Avg Energy:  33014.89 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   950 | Slices: 200 | Avg Reward:  135705.59 | Avg Energy:  32453.00 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1000 | Slices: 200 | Avg Reward:  135678.67 | Avg Energy:  32515.07 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
