(.venv) └  ~/workspace/python_workspace/network_slicing_vnf_placement/dql_vnf_placement  M › U › 𝗈𝗇 › barabasi_network
 › python main.py
Episode 0 | Avg Reward: -181.72 | Avg Energy: 7258.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 50 | Avg Reward: -151.72 | Avg Energy: 7662.12 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.755
Episode 100 | Avg Reward: -169.72 | Avg Energy: 8986.24 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.506
Episode 150 | Avg Reward: -175.72 | Avg Energy: 10376.78 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.339
Episode 200 | Avg Reward: -169.72 | Avg Energy: 11326.24 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.227
Episode 250 | Avg Reward: -169.72 | Avg Energy: 11130.82 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.152
Episode 300 | Avg Reward: -169.72 | Avg Energy: 12776.22 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.102
Episode 350 | Avg Reward: -154.72 | Avg Energy: 13757.08 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.068
Episode 400 | Avg Reward: -160.00 | Avg Energy: 13892.26 | Invalid: 2 | QoS Violations: 0 | Success Rate: 0.98 | Epsilon: 0.055
Episode 450 | Avg Reward: -127.73 | Avg Energy: 11233.82 | Invalid: 0 | QoS Violations: 2 | Success Rate: 0.79 | Epsilon: 0.093
Episode 500 | Avg Reward: -161.86 | Avg Energy: 14963.44 | Invalid: 0 | QoS Violations: 2 | Success Rate: 0.99 | Epsilon: 0.062
Episode 550 | Avg Reward: -113.73 | Avg Energy: 10412.10 | Invalid: 1 | QoS Violations: 1 | Success Rate: 0.65 | Epsilon: 0.200
Episode 600 | Avg Reward: -87.31 | Avg Energy: 8801.10 | Invalid: 0 | QoS Violations: 2 | Success Rate: 0.54 | Epsilon: 0.694
Episode 650 | Avg Reward: -84.74 | Avg Energy: 8549.28 | Invalid: 1 | QoS Violations: 1 | Success Rate: 0.51 | Epsilon: 0.688
Episode 700 | Avg Reward: -104.73 | Avg Energy: 10445.26 | Invalid: 0 | QoS Violations: 2 | Success Rate: 0.65 | Epsilon: 0.688
Episode 750 | Avg Reward: -84.03 | Avg Energy: 8472.48 | Invalid: 0 | QoS Violations: 2 | Success Rate: 0.49 | Epsilon: 0.677
Episode 800 | Avg Reward: -88.36 | Avg Energy: 8562.00 | Invalid: 2 | QoS Violations: 0 | Success Rate: 0.54 | Epsilon: 0.700
Episode 850 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 2 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 900 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 2 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 950 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 2 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1000 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1050 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1100 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1150 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1200 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1250 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1300 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1350 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1400 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1450 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1500 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1550 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1600 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1650 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1700 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1750 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 1800 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 3 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
