Episode 0 | Avg Reward: -1988.31 | Avg Energy: 7265.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 1 | Avg Reward: -1988.43 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 2 | Avg Reward: -1988.62 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 3 | Avg Reward: -1989.47 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 4 | Avg Reward: -1990.21 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 5 | Avg Reward: -1989.69 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 6 | Avg Reward: -1991.91 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 7 | Avg Reward: -889.82 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 1.000
Episode 8 | Avg Reward: -1992.13 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 9 | Avg Reward: -1989.97 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 10 | Avg Reward: -1996.17 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 11 | Avg Reward: -894.11 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 1.000
Episode 12 | Avg Reward: 208.37 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 0 | Success Rate: 1.00 | Epsilon: 1.000
Episode 13 | Avg Reward: -1992.05 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 14 | Avg Reward: -1995.15 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 1.000
Episode 15 | Avg Reward: -1991.12 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.999
Episode 16 | Avg Reward: -1996.12 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.991
Episode 17 | Avg Reward: -898.17 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.983
Episode 18 | Avg Reward: -2002.31 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.975
Episode 19 | Avg Reward: -1991.88 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.968
Episode 20 | Avg Reward: -1996.00 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.960
Episode 21 | Avg Reward: -2000.55 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.952
Episode 22 | Avg Reward: -897.37 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.945
Episode 23 | Avg Reward: -1992.65 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.937
Episode 24 | Avg Reward: -1999.95 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.930
Episode 25 | Avg Reward: -1997.92 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.922
Episode 26 | Avg Reward: -1993.23 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.915
Episode 27 | Avg Reward: -1993.42 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.908
Episode 28 | Avg Reward: -2001.73 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.900
Episode 29 | Avg Reward: -1996.61 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.893
Episode 30 | Avg Reward: -904.58 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.886
Episode 31 | Avg Reward: -2006.31 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.879
Episode 32 | Avg Reward: -1997.47 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.872
Episode 33 | Avg Reward: -2013.83 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.865
Episode 34 | Avg Reward: -1994.76 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.858
Episode 35 | Avg Reward: -2008.52 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.851
Episode 36 | Avg Reward: -2002.15 | Avg Energy: 7265.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.844
