python main.py agent_result/5k_retrain_1/5k_retrain.pth v2_5k_retrain.pth
Episode     0 | Slices: 140 | Avg Reward:   94411.22 | Avg Energy:  28141.41 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode    50 | Slices: 140 | Avg Reward:   94273.36 | Avg Energy:  26241.77 | Invalid:  11 | QoS Violations: 11 | Success Rate:  1.00 | Epsilon: 0.050
Episode   100 | Slices: 141 | Avg Reward:   94403.81 | Avg Energy:  26564.33 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   150 | Slices: 141 | Avg Reward:   94985.12 | Avg Energy:  26769.09 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   200 | Slices: 142 | Avg Reward:   95073.48 | Avg Energy:  26733.76 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   250 | Slices: 142 | Avg Reward:   95780.73 | Avg Energy:  26694.40 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   300 | Slices: 143 | Avg Reward:   95811.89 | Avg Energy:  26282.45 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   350 | Slices: 143 | Avg Reward:   96324.75 | Avg Energy:  26894.98 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   400 | Slices: 144 | Avg Reward:   96389.50 | Avg Energy:  26764.10 | Invalid:   2 | QoS Violations:  2 | Success Rate:  1.00 | Epsilon: 0.050
Episode   450 | Slices: 144 | Avg Reward:   97141.94 | Avg Energy:  26731.81 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   500 | Slices: 145 | Avg Reward:   97053.05 | Avg Energy:  27113.44 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   550 | Slices: 145 | Avg Reward:   97872.64 | Avg Energy:  26763.08 | Invalid:   2 | QoS Violations:  2 | Success Rate:  1.00 | Epsilon: 0.050
Episode   600 | Slices: 146 | Avg Reward:   97815.09 | Avg Energy:  26939.65 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   650 | Slices: 146 | Avg Reward:   98338.21 | Avg Energy:  27181.49 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   700 | Slices: 147 | Avg Reward:   98296.72 | Avg Energy:  27055.16 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   750 | Slices: 147 | Avg Reward:   99030.13 | Avg Energy:  27520.20 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   800 | Slices: 148 | Avg Reward:   99056.01 | Avg Energy:  27413.81 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   850 | Slices: 148 | Avg Reward:   99530.02 | Avg Energy:  27282.43 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode   900 | Slices: 149 | Avg Reward:   99732.82 | Avg Energy:  27513.27 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode   950 | Slices: 149 | Avg Reward:  100212.98 | Avg Energy:  27647.75 | Invalid:   3 | QoS Violations:  3 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1000 | Slices: 150 | Avg Reward:  100265.73 | Avg Energy:  27762.95 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1050 | Slices: 150 | Avg Reward:  100872.44 | Avg Energy:  26550.10 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1100 | Slices: 151 | Avg Reward:  100920.78 | Avg Energy:  27531.72 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1150 | Slices: 151 | Avg Reward:  101598.95 | Avg Energy:  27623.97 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1200 | Slices: 152 | Avg Reward:  101406.54 | Avg Energy:  27297.03 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1250 | Slices: 152 | Avg Reward:  102234.06 | Avg Energy:  27951.96 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1300 | Slices: 153 | Avg Reward:  102431.72 | Avg Energy:  27525.20 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1350 | Slices: 153 | Avg Reward:  102991.55 | Avg Energy:  27294.77 | Invalid:   8 | QoS Violations:  8 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1400 | Slices: 154 | Avg Reward:  103159.99 | Avg Energy:  27832.78 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1450 | Slices: 154 | Avg Reward:  103293.37 | Avg Energy:  28027.70 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1500 | Slices: 155 | Avg Reward:  103462.59 | Avg Energy:  27908.87 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1550 | Slices: 155 | Avg Reward:  104091.43 | Avg Energy:  28040.51 | Invalid:   1 | QoS Violations:  1 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1600 | Slices: 156 | Avg Reward:  104090.81 | Avg Energy:  27621.32 | Invalid:   7 | QoS Violations:  7 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1650 | Slices: 156 | Avg Reward:  104663.62 | Avg Energy:  28051.43 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1700 | Slices: 157 | Avg Reward:  104507.88 | Avg Energy:  28008.97 | Invalid:   1 | QoS Violations:  1 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1750 | Slices: 157 | Avg Reward:  105125.14 | Avg Energy:  28025.68 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1800 | Slices: 158 | Avg Reward:  105495.46 | Avg Energy:  27888.21 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1850 | Slices: 158 | Avg Reward:  106101.36 | Avg Energy:  28399.81 | Invalid:   2 | QoS Violations:  2 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1900 | Slices: 159 | Avg Reward:  106074.56 | Avg Energy:  28156.52 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  1950 | Slices: 159 | Avg Reward:  106946.25 | Avg Energy:  28192.50 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2000 | Slices: 160 | Avg Reward:  106916.99 | Avg Energy:  28341.46 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2050 | Slices: 160 | Avg Reward:  107522.85 | Avg Energy:  28010.59 | Invalid:   1 | QoS Violations:  1 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2100 | Slices: 161 | Avg Reward:  107552.90 | Avg Energy:  27864.43 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2150 | Slices: 161 | Avg Reward:  108071.02 | Avg Energy:  28843.99 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2200 | Slices: 162 | Avg Reward:  107957.99 | Avg Energy:  28296.14 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
